ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
59,Young adult,High,F,M,1,20550.9,Y,22,135920001,2254043822500565,19220814,7664 N SHORE PL,,WALNUT CREEK,CA,94596,0,,,27722.77,57,13861,1386,14.25,5,7,0.0,1386.1385
60,Young adult,High,M,M,2,1765.41,N,19,174230708,3593555216262313,19850223,2157 UNION SCHOOL RD SW,,FAIRVIEW,NJ,7022,0,,,3040.3,44,760,76,6.6,5,15,0.0,152.015
61,Adult,High,F,S,2,19131.1,N,56,314019243,8501024501913449,19161018,147 COND TORRES DE CAROLINA,,CAROLINA,PR,979,0,,,22152.22,34,11076,1107,8.5,2,5,0.0,1107.611
62,Adult,High,F,S,2,83073.7,N,40,137537274,2923570559663738,19840313,14854 STATE HIGHWAY 34 PMB 14686,,HUALAPAI,AZ,86412,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
63,Adult,Medium,M,M,2,42750.3,Y,50,284662870,8880788709838447,19260616,19 101ST AVE,,LA QUINTA,CA,92253,0,,,20592.06,112,10296,1029,28.0,1,8,1029.603,0.0
64,Adult,High,F,S,2,2842.55,N,46,212871479,6621308952138798,19830105,19518 SE 95TH ST,,BROOKLEY FIELD,AL,36601,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
65,Adult,High,M,M,2,22358.1,N,53,209209394,3765476668355499,19150319,84 S 2ND ST,,DALTON,GA,30721,0,,,15541.55,12,7770,777,3.0,2,9,0.0,777.0775
66,Young adult,Medium,M,M,0,47870.8,Y,27,180523209,6679223923871719,19771126,13232 IVAN TORS BLVD,,MOUNT HOLLY,NJ,8060,0,,,2000.2,12,500,50,1.8,1,11,0.0,50.005
67,Adult,Low,F,S,2,6440.46,Y,53,128215549,2396213863664854,19420301,1223 S LAKES END DR APT A1,,COGAN STATION,PA,17728,0,,,22662.27,27,11331,1133,6.75,3,8,1133.1135,0.0
68,Adult,High,F,S,0,7325.5,N,37,843876347,5809909439018243,19460820,23755AJ LORAIN RD STE 100,,CAMAS,WA,98607,0,,,28522.85,161,14261,1426,40.25,3,8,0.0,1426.1425
69,Adult,High,M,M,2,28766.9,N,47,109310470,8948224162469086,19420403,510 E HIGH ST STE 53,,VEGA BAJA,PR,693,3538,,,6110.61,58,1527,152,8.7,5,16,0.0,305.5305
70,Young adult,Low,M,M,2,91272.2,Y,25,174618692,5766558199601508,19480925,548 AVENUE C # 4662 # 3129,,HUNTSVILLE,AL,35810,0,,,26992.7,13,13496,1349,3.25,4,8,1349.635,0.0
71,Adult,High,M,S,0,65000.0,Y,46,793285252,2163018201969889,19970303,173 NE 698TH ST,,KENOSHA,WI,53143,0,,,11631.16,115,5815,581,28.75,5,8,0.0,581.558
72,Young adult,Low,M,M,2,1406.05,Y,19,119834342,7717116166965294,19841014,2901 FRANCIS LEWIS BLVD,,WETHERSFIELD,CT,6109,0,,,11551.16,15,5775,577,3.75,5,9,577.558,0.0
73,Adult,Low,F,S,0,73228.3,N,62,514275920,5956221558972535,19690226,1312 GLENMAR AVE,,ROXBURY,MA,2119,0,-71.080004,42.32869,22472.25,28,11236,1123,7.0,4,5,1123.6125,0.0
74,Adult,Medium,F,S,2,76231.9,N,64,198427974,6438406753166080,19810226,4800 COBBHAM RD,,JOLIET,IL,60436,0,-88.11960699999999,41.52053,2010.2,150,502,50,22.5,3,13,0.0,50.255
75,Adult,High,M,M,1,64792.3,N,52,146751259,6225141602058809,19170516,151 S BISHOP AVE APT B8,,GRAND TOWER,IL,62942,0,-89.500268,37.627967,13051.31,36,6525,652,9.0,1,9,0.0,652.5655
76,Adult,Low,F,S,0,93322.1,Y,40,941484985,8359225696217586,19890719,1427 SUNSET AVE NE,,CITRUS SPRINGS,FL,34434,0,,,29922.99,8,14961,1496,2.0,1,7,1496.1495,0.0
77,Adult,Medium,M,M,1,63437.3,N,64,126310600,7684676050530169,19110416,1000 CUSTER HOLLOW RD,,FRIENDSHIP,TN,38034,0,,,680.07,10,170,17,1.5,2,10,0.0,17.00175
78,Adult,High,M,M,2,49910.7,Y,52,320023845,8712752158627150,19080919,M F S  INTERNET,,SAN ANTONIO,TX,78208,0,-98.47128599999999,29.442981,27422.74,23,13711,1371,5.75,5,10,0.0,1371.137
79,Adult,Low,M,M,0,76161.4,Y,45,145950852,4763171191417309,19371016,6008 93RD AVE NE,,BROWNSVILLE,MD,21715,0,,,11961.2,25,5980,598,6.25,2,10,598.06,0.0
80,Child,Low,F,M,2,55860.0,Y,15,899586715,4563856697669179,19920314,4870 BERNAL AVE APT D,,HOUSTON,TX,77082,3318,,,16011.6,10,8005,800,2.5,2,9,800.58,0.0
81,Senior,High,F,S,1,12686.0,N,65,185432930,3469845478374863,19690505,1047 FIFE CT,,FARMER CITY,IL,61842,0,,,23232.32,80,11616,1161,20.0,3,10,0.0,1161.616
82,Adult,Low,M,M,2,57360.8,Y,53,127649425,4901596913568607,19761019,639 CALLE BRISA TROPICAL,,WOODBRIDGE,CT,6525,2326,,,10361.04,57,5180,518,14.25,2,5,518.052,0.0
83,Adult,Medium,M,M,0,92414.7,Y,46,958925102,5882711835461216,19360509,1 GRANDVIEW DR,,CAMDEN,IL,62319,0,,,29432.94,10,14716,1471,2.5,2,10,0.0,1471.647
84,Adult,High,M,M,1,60102.7,N,42,129185597,1389223588834222,19260308,651 CROWN POINT RD,,ELBERTON,GA,30635,0,,,9840.98,62,2460,246,9.3,1,20,0.0,492.049
85,Adult,Low,F,M,2,17888.7,N,55,147733645,3898728780466647,19820321,7301 NW 18TH ST APT AM-101,,DOWNSVILLE,LA,71234,0,,,29412.94,332,14706,1470,83.0,2,6,1470.647,0.0
86,Adult,High,F,S,1,12526.3,N,54,343905229,2732511606886598,19400710,194 W SHORE RD,,BATH,NY,14810,0,,,11721.17,28,5860,586,7.0,2,10,0.0,586.0585
87,Adult,Low,F,S,2,14578.8,Y,61,196629147,7524135756248680,19660309,188 BELGROVE DR,,EDGEWOOD,TX,75117,0,-95.883782,32.698840000000004,11911.19,95,5955,595,23.75,1,10,595.5595,0.0
88,Adult,High,M,M,0,78572.2,Y,42,531373016,5402853475669671,19180412,5456 N DEL MAR AVE APT 101X,,ADA,OK,74820,0,-96.681753,34.78692,21812.18,29,10906,1090,7.25,5,8,0.0,1090.609
89,Adult,High,F,M,2,48238.8,N,35,167438115,7140840931788934,19291123,426 BEECH ST APT 1A,,MORTON,PA,19070,0,,,23282.33,168,11641,1164,42.0,4,6,0.0,1164.1165
90,Child,High,F,M,0,28770.9,N,12,117800783,3243878625132249,19191127,R & R CAMPER LAND,,TRAVELERS REST,SC,29690,0,,,27992.8,16,13996,1399,4.0,2,5,0.0,1399.64
91,Adult,Medium,F,M,2,87578.2,Y,53,705603725,7787282029011698,19450606,PO BOX G,,NEW BEDFORD,MA,2744,0,,,290.03,22,72,7,3.3,5,12,0.0,7.25075
92,Child,Low,F,M,2,86695.4,N,14,481457359,4220325251081914,19771017,7134 69TH ST SW,,LOCKHART,TX,78644,0,-97.6914,29.8699,25942.59,32,12971,1297,8.0,4,10,1297.1295,0.0
93,Adult,High,F,S,2,76791.2,N,61,405896937,4439156505669092,19350316,1301 TRUMANSBURG RD STE Q,,ISABELA,PR,662,0,,,20712.07,23,10356,1035,5.75,5,5,0.0,1035.6035
94,Child,High,F,D,0,30763.8,Y,14,990266595,9889240775417682,19711120,165 COND AMAPOLA,,PIEDMONT,OK,73078,0,,,21322.13,35,10661,1066,8.75,1,8,0.0,1066.1065
95,Adult,High,F,M,2,3193.6,N,54,462688506,6022101718644256,19601023,1 PENWOOD DR APT 8,,CARMAN,IL,61425,0,,,4190.42,114,1047,104,17.1,4,16,0.0,209.521
96,Child,Medium,M,M,1,69680.9,N,16,350507229,8507603517856951,19810707,PO BOX 184,,LOUISVILLE,KY,40203,0,-85.75451,38.240544,7670.77,32,1917,191,4.8,1,10,0.0,191.76925
97,Adult,High,F,M,0,83287.0,N,45,648015040,7572489353454619,19381123,209 WILLOW AVE APT 2C # 2988,,RINER,VA,24149,0,,,29642.96,90,14821,1482,22.5,3,7,0.0,1482.148
98,Young adult,Low,M,S,0,2056.06,Y,19,174484400,6134634504351545,19021225,1356 IMESON ST,,EL PASO,TX,79925,0,-106.34411000000001,31.79488,24072.41,27,12036,1203,6.75,3,9,1203.6205,0.0
99,Adult,High,F,M,2,7776.6,N,36,119438357,5673962708155374,19700223,1958 ELAINE ST,,TAHLEQUAH,OK,74464,0,,,25872.59,68,12936,1293,17.0,5,7,0.0,1293.6295
100,Adult,Low,M,M,1,2067.82,N,48,174111974,1785991373356861,19120331,PO BOX 28126,,ALPENA,MI,49707,0,-83.434871,45.064883,15251.53,70,7625,762,17.5,3,6,762.5765,0.0
101,Adult,High,M,S,0,66666.0,N,52,134354728,5456267844766724,19821025,8385 SOFT WIND DR,,FAUCETT,MO,64448,0,,,4580.46,8,1145,114,1.2,2,18,0.0,229.023
102,Adult,Medium,F,M,2,69343.3,N,42,198766882,4464350056725850,19560603,3569 OLDFIELD RD,,PIEDMONT,OK,73078,0,,,6360.64,15,1590,159,2.25,1,12,0.0,159.016
103,Adult,High,F,M,0,77000.0,N,55,791979521,5744758719388060,19970113,200 CALLE PEDRO FLORES,,HUMACAO,PR,791,0,,,570.06,23,142,14,3.45,4,17,0.0,28.503
104,Adult,Medium,F,M,0,14932.5,N,52,185782320,8014016844674554,19931220,PO BOX 3292,,FAIRFIELD,IL,62837,0,-88.360047,38.381199,4910.49,6,1227,122,0.9,3,14,0.0,122.76225
105,Adult,Medium,F,S,0,27498.1,N,42,182446492,2759955468171088,19790801,119 MASS AVE,,DORCHESTER,MA,2125,0,-71.06172,42.317808,2200.22,9,550,55,1.35,3,11,0.0,55.0055
106,Adult,High,F,M,2,21419.9,N,60,112008466,7804838107020218,19560529,3402 264TH AVE SE,,CALDWELL,NJ,7006,0,,,26392.64,103,13196,1319,25.75,3,6,0.0,1319.632
107,Young adult,High,F,M,2,30665.2,Y,23,651824537,4414255715299604,19720814,11019 SE 200TH ST,,WILDWOOD,NJ,8260,0,-74.816989,38.989925,5830.58,63,1457,145,9.45,2,19,0.0,291.529
108,Adult,High,F,M,1,66000.0,Y,63,940087283,6562430618329178,19211221,1366 CULLEN AVE,,MATTESON,IL,60443,0,,,6080.61,30,1520,152,4.5,2,18,0.0,304.0305
109,Adult,Low,F,M,2,50561.3,N,52,432032311,8138283274714009,19070215,2479 ROBINSON RD SE,,LUMBERTON,NC,28358,7128,-78.983611,34.641651,16601.66,113,8300,830,28.25,1,9,830.083,0.0
110,Senior,Low,F,S,2,23464.0,Y,70,211133306,8832367879052839,19410707,8366 CUTLER WAY,,PIXLEY,CA,93256,0,,,22432.24,41,11216,1121,10.25,3,8,1121.612,0.0
111,Adult,Medium,F,M,2,194.57,N,42,183967399,7197947908143182,19140306,727 BUNKER HILL RD APT 65,,POULSBO,WA,98370,0,,,28262.83,38,14131,1413,9.5,3,10,0.0,1413.1415
112,Adult,Low,F,M,1,98680.4,Y,55,617465241,5205588118815318,19650727,283 PLEASANT AVE APT 1,,COLLINSVILLE,AL,35961,0,-85.868377,34.257609,17581.76,8,8790,879,2.0,2,9,879.088,0.0
113,Adult,Low,M,M,1,65619.7,Y,46,124034367,3079055719918506,19180427,3755 CHESAPEAKE AVE APT 339,,LAKE VILLA,IL,60046,0,,,13561.36,144,6780,678,36.0,5,10,678.068,0.0
114,Adult,Low,F,M,1,95620.3,Y,52,651115453,5555223420967956,19920711,7255 W UNIVERSITY AVE,,E MILLSBORO,PA,15433,0,,,10911.09,93,5455,545,23.25,1,6,545.5545,0.0
115,Adult,High,F,S,0,85275.0,N,47,190932121,4173366383481145,19911003,104 SE 10TH ST,,DALLAS,GA,30132,0,-84.844514,33.92309,22482.25,151,11241,1124,37.75,2,6,0.0,1124.1125
116,Adult,Low,F,M,1,66921.4,Y,43,570196480,9102337879841127,19420715,1721 JERICHO CT,,PINEY FLATS,TN,37699,3,,,15701.57,8,7850,785,2.0,3,8,785.0785,0.0
117,Adult,High,F,M,1,98453.6,Y,46,995020682,6860016697844600,19640225,PO BOX 9998,,PITTSBURGH,PA,15219,2013,-79.968414,40.452614000000004,13721.37,11,6860,686,2.75,3,9,0.0,686.0685
118,Young adult,High,F,M,2,94026.8,Y,28,172812904,4072640125681767,19310115,2033 SHORE BLVD APT 1C,,MARCO ISLAND,FL,34145,2849,,,25002.5,10,12501,1250,2.5,1,10,0.0,1250.125
119,Adult,High,F,S,2,57420.0,Y,61,110156949,1245792692977270,19021025,A & K EARTHMOVERS,,MINOT,ND,58701,0,-101.290243,48.233302,25182.52,252,12591,1259,63.0,1,7,0.0,1259.126
120,Adult,Medium,M,M,0,77000.0,N,44,116245879,7043630994700102,19360118,412 W SOUTH ST APT 1,,WEST PALM BEACH,FL,33404,0,,,3930.39,26,982,98,3.9,1,13,0.0,98.25975
121,Adult,Low,M,M,2,47639.1,N,48,758653230,1232432251192499,19820116,201 BROOKLINE AVE,,MOBILE,AL,36603,0,-88.048547,30.701471,17481.75,39,8740,874,9.75,3,10,874.0875,0.0
122,Adult,High,F,M,2,63234.5,Y,52,180717322,4208400195649343,19370507,870 TALLYHO CIR,,WHEATLAND,ND,58079,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
123,Adult,Medium,F,M,2,18296.4,Y,43,164391615,4628595662286663,19131105,1851 S SHORE E,,CUTTINGSVILLE,VT,5738,0,,,80.01,10,20,2,1.5,4,15,0.0,2.00025
124,Young adult,Low,F,S,0,39461.0,N,22,116455016,5276728148458541,19170401,293 NORTH ST APT 2,,BALL GROUND,GA,30107,0,,,22872.29,103,11436,1143,25.75,2,9,1143.6145,0.0
125,Adult,High,F,S,1,68000.0,N,60,649956169,6509810390414496,19980503,1 BANK ONE PLZ,,NORMAN,OK,73070,0,,,22822.28,63,11411,1141,15.75,3,10,0.0,1141.114
126,Adult,High,F,M,2,52957.0,Y,40,210660466,8480519858796871,19631004,20 SHERMAN PATH APT A,,OSWEGO,NY,13126,0,,,25792.58,125,12896,1289,31.25,1,9,0.0,1289.629
127,Senior,High,F,S,2,86747.1,N,65,151505739,3778951316004328,19871113,2237 N FREEWAY,,AUBREY,TX,76227,0,,,20152.02,37,10076,1007,9.25,2,8,0.0,1007.601
128,Adult,Low,F,M,1,87404.6,N,63,129797120,8080794495911549,19790325,2125 CAPET ST,,PALM DESERT,CA,92260,0,,,21632.16,139,10816,1081,34.75,4,6,1081.608,0.0
